fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
8500000.0,3+1,110.0,90.0,0 (Yeni),1.0,4.0,Kombi Doğalgaz,1.0,Zeytinburnu,Telsiz
10500000.0,5+2,300.0,250.0,16-20,3.0,4.0,Kombi Doğalgaz,3.0,Büyükçekmece,Fatih
6800000.0,2+1,85.0,70.0,0 (Yeni),5.0,5.0,Yerden Isıtma,1.0,Zeytinburnu,Çırpıcı
1850000.0,1+1,70.0,60.0,5-10,8.0,24.0,Merkezi (Pay Ölçer),1.0,Esenyurt,Pınar
7150000.0,4+1,145.0,120.0,5-10,,3.0,Kombi Doğalgaz,2.0,Sancaktepe,Atatürk
7950000.0,3+1,115.0,90.0,0 (Yeni),8.0,9.0,Merkezi (Pay Ölçer),2.0,Pendik,Velibaba
6750000.0,2+1,105.0,80.0,11-15,1.0,9.0,Merkezi (Pay Ölçer),1.0,Pendik,Güllü Bağlar
6500000.0,2+1,95.0,85.0,0 (Yeni),3.0,6.0,Kombi Doğalgaz,1.0,Sultangazi,Cebeci
3900000.0,2+1,70.0,65.0,5-10,1.0,5.0,Kombi Doğalgaz,1.0,Küçükçekmece,Söğütlü Çeşme
5500000.0,2+1,83.0,70.0,21 Ve Üzeri,2.0,5.0,Kombi Doğalgaz,1.0,Beşiktaş,Mecidiye
3400000.0,2+1,110.0,105.0,4,1.0,4.0,Kombi Doğalgaz,2.0,Esenyurt,Güzelyurt
4950000.0,2+1,75.0,1.0,0 (Yeni),3.0,4.0,Kombi Doğalgaz,1.0,Bahçelievler,Yenibosna Merkez
8750000.0,2+1,110.0,95.0,0 (Yeni),1.0,4.0,Yerden Isıtma,1.0,Zeytinburnu,Seyitnizam
13500000.0,4+2,140.0,121.0,4,,3.0,Yerden Isıtma,3.0,Bayrampaşa,Muratpaşa
7999000.0,3+1,125.0,120.0,0 (Yeni),3.0,5.0,Kombi Doğalgaz,2.0,Sultangazi,İsmetpaşa
3950000.0,1+1,62.0,60.0,5-10,,6.0,Kombi Doğalgaz,1.0,Kağıthane,Gültepe
3950000.0,2+1,72.0,70.0,0 (Yeni),1.0,6.0,Kombi Doğalgaz,1.0,Kağıthane,Şirintepe
3950000.0,1+1,55.0,50.0,21 Ve Üzeri,,5.0,Kombi Doğalgaz,1.0,Kağıthane,Gültepe
3600000.0,2+1,90.0,80.0,21 Ve Üzeri,,4.0,Isıtma Yok,2.0,Fatih,Muhsine Hatun
2235000.0,2+1,110.0,105.0,5-10,5.0,16.0,Merkezi (Pay Ölçer),1.0,Esenyurt,Piri Reis
8250000.0,2+1,85.0,75.0,21 Ve Üzeri,4.0,4.0,Kombi Doğalgaz,1.0,Kadıköy,Sahrayı Cedit
7250000.0,3+1,120.0,110.0,5-10,2.0,5.0,Kombi Doğalgaz,1.0,Kağıthane,Çağlayan
6950000.0,2+1,100.0,90.0,5-10,1.0,5.0,Kombi Doğalgaz,1.0,Küçükçekmece,Cennet
16500000.0,3+1,164.0,125.0,11-15,20.0,22.0,Merkezi (Pay Ölçer),2.0,Küçükçekmece,Atakent
5450000.0,2+1,75.0,68.0,0 (Yeni),,4.0,Kombi Doğalgaz,1.0,Bahçelievler,Bahçelievler
6750000.0,2+1,90.0,85.0,0 (Yeni),,5.0,Kombi Doğalgaz,2.0,Esenler,Nine Hatun
3750000.0,2+1,85.0,80.0,0 (Yeni),,5.0,Kombi Doğalgaz,1.0,Esenler,Nine Hatun
2160000.0,2+1,65.0,60.0,21 Ve Üzeri,2.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Şirinevler
4500000.0,2+1,95.0,90.0,21 Ve Üzeri,3.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Siyavuşpaşa
